root_id	label_value	root_created_at	total_nodes_from_db	node_count	edge_count	cluster_count	cut_ratio	ncut	cluster_entropy_norm	largest_cluster_ratio	cluster_sizes_json	edge_weight_mode	numpart	seed	runtime_seconds	finished_at_utc
3453646882841201	rumor	2012-06-05 19:50:46+08	1000	1000	999	2.0	0.037741522121810395	0.09587128767460343	0.9169567260793559	0.668	"{""0"":332,""1"":668}"	relative_root_seconds	2	42	179.406801	2026-05-18T13:15:34.099753+00:00
3458052025942521	rumor	2012-06-17 23:35:14+08	1000	1000	999	2.0	0.0046594483774008025	0.07781543811965097	0.14144054253893532	0.98	"{""0"":980,""1"":20}"	relative_root_seconds	2	42	217.562923	2026-05-18T13:19:11.664674+00:00
3458738764029954	rumor	2012-06-19 21:04:01+08	1000	1000	999	2.0	0.0038285435349520816	0.012595670376393317	0.22836402583767926	0.963	"{""0"":963,""1"":37}"	relative_root_seconds	2	42	223.995435	2026-05-18T13:22:55.662113+00:00
3460120078103292	rumor	2012-06-23 16:32:55+08	1000	1000	999	2.0	0.002840525489054948	0.09920627340300933	0.06722154475542148	0.992	"{""0"":992,""1"":8}"	relative_root_seconds	2	42	220.297832	2026-05-18T13:26:35.964101+00:00
3462269600134003	rumor	2012-06-29 14:54:21+08	1000	1000	999	2.0	0.00408901863055278	0.02369683484435504	0.16334554318051697	0.976	"{""0"":976,""1"":24}"	relative_root_seconds	2	42	199.018761	2026-05-18T13:29:54.985210+00:00
3465261540071546	rumor	2012-07-07 21:03:15+08	1000	1000	999	2.0	0.002082635318479885	0.024319122425590943	0.10627369308177448	0.986	"{""0"":986,""1"":14}"	relative_root_seconds	2	42	143.358474	2026-05-18T13:32:18.344684+00:00
3471040577916614	rumor	2012-07-23 19:47:05+08	1000	1000	999	2.0	0.008104575685757544	0.041825360348235495	0.31541908893519544	0.943	"{""0"":943,""1"":57}"	relative_root_seconds	2	42	186.096755	2026-05-18T13:35:24.442437+00:00
3474993889611780	rumor	2012-08-03 17:36:06+08	1000	1000	999	2.0	0.029284951268608403	0.06529829133374707	0.3733433210769682	0.928	"{""0"":928,""1"":72}"	relative_root_seconds	2	42	133.384961	2026-05-18T13:37:37.827398+00:00
3475302015075964	rumor	2012-08-04 14:00:31+08	1000	1000	999	2.0	0.004697851201353749	0.08015201709770393	0.08735191991343083	0.989	"{""0"":989,""1"":11}"	relative_root_seconds	2	42	170.594531	2026-05-18T13:40:28.422932+00:00
3475420018566028	rumor	2012-08-04 21:49:25+08	1000	1000	999	2.0	0.005224851123583642	0.020318877552838625	0.36592365089733775	0.93	"{""0"":70,""1"":930}"	relative_root_seconds	2	42	161.567935	2026-05-18T13:43:09.991874+00:00
3476014229176895	rumor	2012-08-06 13:10:36+08	1000	1000	999	2.0	0.0011633788113838298	0.013215907667755	0.11236071009649139	0.985	"{""0"":985,""1"":15}"	relative_root_seconds	2	42	152.780205	2026-05-18T13:45:42.778573+00:00
3476366005708918	rumor	2012-08-07 12:28:26+08	1000	1000	999	2.0	0.0011048035182593837	0.0025335288158310825	0.23304589256156513	0.962	"{""0"":962,""1"":38}"	relative_root_seconds	2	42	499.947846	2026-05-19T01:41:27.223800+00:00
3476433059938818	rumor	2012-08-07 16:54:53+08	1000	1000	999	2.0	0.00024834970802212674	0.012602877207102767	0.020814071332615675	0.998	"{""0"":998,""1"":2}"	relative_root_seconds	2	42	174.273082	2026-05-19T01:44:21.503888+00:00
